date,symbol,target_close,action,cash,shares,portfolio_value,buy_hold_value,predicted_action
2022-03-01 09:30:00,AC,859.0,HOLD,100000.0,0.0,100000.0,100000.0,HOLD
2022-03-02 09:30:00,AC,859.5,HOLD,100000.0,0.0,100000.0,100058.20721769499,HOLD
2022-03-03 09:30:00,AC,848.0,HOLD,100000.0,0.0,100000.0,98719.44121071012,HOLD
2022-03-04 09:30:00,AC,848.0,HOLD,100000.0,0.0,100000.0,98719.44121071012,HOLD
2022-03-07 09:30:00,AC,838.0,HOLD,100000.0,0.0,100000.0,97555.29685681024,HOLD
2022-03-08 09:30:00,AC,800.5,HOLD,100000.0,0.0,100000.0,93189.75552968567,HOLD
2022-03-09 09:30:00,AC,815.0,BUY,0.0,122.69938650306749,100000.0,94877.76484284051,BUY
2022-03-10 09:30:00,AC,830.0,BUY,0.0,122.69938650306749,101840.49079754601,96623.98137369033,BUY
2022-03-11 09:30:00,AC,800.5,BUY,0.0,122.69938650306749,98220.85889570552,93189.75552968567,BUY
2022-03-14 09:30:00,AC,759.5,BUY,0.0,122.69938650306749,93190.18404907976,88416.76367869615,BUY
2022-03-15 09:30:00,AC,789.0,BUY,0.0,122.69938650306749,96809.81595092025,91850.98952270081,BUY
2022-03-16 09:30:00,AC,815.0,BUY,0.0,122.69938650306749,100000.0,94877.76484284051,BUY
2022-03-17 09:30:00,AC,808.0,SELL,99141.10429447853,0.0,99141.10429447853,94062.86379511059,SELL
2022-03-18 09:30:00,AC,788.0,SELL,99141.10429447853,0.0,99141.10429447853,91734.57508731082,SELL
2022-03-21 09:30:00,AC,777.0,BUY,0.0,127.59472882172268,99141.10429447853,90454.01629802096,BUY
2022-03-22 09:30:00,AC,777.0,BUY,0.0,127.59472882172268,99141.10429447853,90454.01629802096,BUY
2022-03-23 09:30:00,AC,791.0,BUY,0.0,127.59472882172268,100927.43049798264,92083.81839348079,BUY
2022-03-24 09:30:00,AC,819.0,BUY,0.0,127.59472882172268,104500.08290499088,95343.42258440047,BUY
2022-03-25 09:30:00,AC,817.5,SELL,104308.6908117583,0.0,104308.6908117583,95168.80093131548,SELL
2022-03-28 09:30:00,AC,806.0,SELL,104308.6908117583,0.0,104308.6908117583,93830.03492433061,SELL
2022-03-29 09:30:00,AC,786.0,HOLD,104308.6908117583,0.0,104308.6908117583,91501.74621653085,HOLD
2022-03-30 09:30:00,AC,813.0,BUY,0.0,128.3009727081898,104308.6908117583,94644.93597206053,BUY
2022-03-31 09:30:00,AC,824.0,HOLD,0.0,128.3009727081898,105720.00151154838,95925.4947613504,HOLD
2022-04-01 09:30:00,AC,818.0,HOLD,0.0,128.3009727081898,104950.19567529924,95227.00814901048,HOLD
2022-04-04 09:30:00,AC,808.0,SELL,103667.18594821735,0.0,103667.18594821735,94062.86379511059,SELL
2022-04-05 09:30:00,AC,815.0,HOLD,103667.18594821735,0.0,103667.18594821735,94877.76484284051,HOLD
2022-04-06 09:30:00,AC,800.0,SELL,103667.18594821735,0.0,103667.18594821735,93131.54831199069,SELL
2022-04-07 09:30:00,AC,770.0,HOLD,103667.18594821735,0.0,103667.18594821735,89639.11525029104,HOLD
2022-04-08 09:30:00,AC,778.0,BUY,0.0,133.2483109874259,103667.18594821735,90570.43073341095,BUY
